frame	"t, s"	id	type	Px	Py	Pt	Sx	Sy	St	Tx	Ty	Tt	mode	ctrl.img.filename
2184	0.006	50	A	871	789	0	0	0	0	0	0	0	NotAssigned	N/A
2185	0.024	50	A	871	789	0	0	0	0	0	0	0	NotAssigned	N/A
2186	0.04	50	A	871.5	789	0	0	0	0	0	0	0	NotAssigned	N/A
2187	0.06	50	A	871.5	788.5	0	864.431	790.117	-81.1859	955	250	0	Tracking	default
2188	0.077	50	A	871	789	0	864.431	790.117	-81.142	955	250	0	Tracking	default
2189	0.095	50	A	871	789	0	864.431	790.117	-81.142	955	250	0	Tracking	default
2190	0.099	50	A	871.5	789	0	864.431	790.117	-81.142	955	250	0	Tracking	default
2191	0.117	50	A	871.5	788.5	0	864.431	790.117	-81.1941	955	250	0	Tracking	default
2192	0.133	50	A	871.5	788.5	0	864.431	790.117	-81.1861	955	250	0	Tracking	default
2193	0.149	50	A	873.5	775	0	880.869	773.439	-81.176	955	250	0	Tracking	default
2194	0.167	50	A	873.677	774.991	0	880.869	773.439	-81.1948	955	250	0	Tracking	default
2195	0.185	50	A	873.742	774.94	0	880.869	773.439	-81.2008	955	250	0	Tracking	default
2196	0.203	50	A	876	771.5	0	880.869	773.439	-81.3871	955	250	0	Tracking	default
2197	0.221	50	A	876	771.5	0	880.869	773.439	-81.3871	955	250	0	Tracking	default
2198	0.239	50	A	876	771.5	0	880.869	773.439	-81.3867	955	250	0	Tracking	default
2199	0.257	50	A	876	771.5	0	880.869	773.439	-81.3863	955	250	0	Tracking	default
2200	0.325	50	A	876	771.5	0	880.881	765.113	0	955	250	0	PullingDown	default
2201	0.327	50	A	876	771.5	0	880.881	765.113	0	955	250	0	PullingDown	default
2202	0.342	50	A	876	771.5	0	880.881	765.113	0	955	250	0	PullingDown	default
2203	0.358	50	A	876	771.5	0	880.881	765.113	0	955	250	0	PullingDown	default
2204	0.376	50	A	876	771.5	0	880.881	765.113	0	955	250	0	PullingDown	default
2205	0.394	50	A	876	771.5	0	880.881	765.113	0	955	250	0	PullingDown	default
2206	0.412	50	A	890.5	756.5	0	897.319	748.435	0	955	250	0	PullingDown	default
2207	0.416	50	A	890.5	756.5	0	897.307	756.76	-82.7428	955	250	0	Tracking	default
2208	0.434	50	A	909	758	0	913.721	756.733	-84.8259	955	250	0	Tracking	default
2209	0.45	50	A	939.319	768.422	0	913.696	773.384	-85.6026	955	250	0	Tracking	default
2210	0.468	50	A	966.868	773.851	0	946.523	773.329	-88.2848	955	250	0	Tracking	default
2211	0.482	50	A	966.868	773.851	0	962.937	773.302	-91.3375	955	250	0	Tracking	default
2212	0.5	50	A	971.5	774.5	0	979.35	773.275	-91.8338	955	250	0	Tracking	default
2213	0.518	50	A	963.424	773.453	0	962.937	773.302	-90.9365	955	250	0	Tracking	default
2214	0.536	50	A	972	774	0	979.35	773.275	-91.8596	955	250	0	Tracking	default
2215	0.554	50	A	963.545	746.206	0	962.986	740	-90.9843	955	250	0	Tracking	default
2216	0.572	50	A	963.545	746.206	0	962.986	740	-90.9832	955	250	0	Tracking	default
2217	0.586	50	A	963.545	746.206	0	962.986	740	-90.9849	955	250	0	Tracking	default
2218	0.604	50	A	963.545	746.206	0	962.986	740	-90.9848	955	250	0	Tracking	default
2219	0.622	50	A	963.545	746.206	0	962.973	748.326	0	955	250	0	PullingDown	default
2220	0.64	50	A	961	717	0	963.022	715.024	0	955	250	0	PullingDown	default
2221	0.658	50	A	961	717	0	963.034	706.698	-90.735	955	250	0	Tracking	default
2222	0.676	50	A	961	717	0	963.01	723.349	-90.7356	955	250	0	Tracking	default
2223	0.694	50	A	962	720	0	963.01	723.349	-90.8535	955	250	0	Tracking	default
2224	0.7	50	A	962.5	729.5	0	963.01	723.349	-90.8538	955	250	0	Tracking	default
2225	0.717	50	A	994	724.5	0	963.01	723.349	-90.8969	955	250	0	Tracking	default
2226	0.733	50	A	994	724.5	0	995.837	723.295	-94.712	955	250	0	Tracking	default
2227	0.749	50	A	1039.94	698.105	0	1045.13	689.911	-100.799	955	250	0	Tracking	default
2228	0.767	50	A	1039.74	698.096	0	1045.13	689.911	-100.765	955	250	0	Tracking	default
2229	0.785	50	A	1038.2	701.1	0	1045.13	689.911	-100.483	955	250	0	Tracking	default
2230	0.803	50	A	1039.56	700.806	0	1045.13	689.911	-100.636	955	250	0	Tracking	default
2231	0.821	50	A	1021.5	668	0	1028.74	673.287	-99.0278	955	250	0	Tracking	default
2232	0.839	50	A	1021.4	668.2	0	1028.74	673.287	-99.0104	955	250	0	Tracking	default
2233	0.857	50	A	1021.55	668.15	0	1028.74	673.287	-99.0358	955	250	0	Tracking	default
2234	0.875	50	A	1021.55	668.15	0	1028.74	673.287	-99.0393	955	250	0	Tracking	default
2235	0.893	50	A	1020.6	668.7	0	1012.32	673.314	-98.9036	955	250	0	Tracking	default
2236	0.911	50	A	1014.7	657.256	0	1012.35	656.663	-98.3339	955	250	0	Tracking	default
2237	0.915	50	A	1014.5	657	0	1012.35	656.663	-98.3342	955	250	0	Tracking	default
2238	0.933	50	A	1014.59	657.268	0	1012.35	656.663	-98.314	955	250	0	Tracking	default
2239	0.949	50	A	1014.59	657.268	0	1012.35	656.663	-98.3222	955	250	0	Tracking	default
2240	0.965	50	A	1014.61	658.145	0	1012.35	656.663	-98.3089	955	250	0	Tracking	default
2241	0.983	50	A	1009.75	643.75	0	1012.37	640.012	-97.913	955	250	0	Tracking	default
2242	1.001	50	A	1008.91	634.588	0	1012.4	623.361	-97.9768	955	250	0	Tracking	default
2243	1.019	50	A	1013.5	646.5	0	1012.37	640.012	-98.3945	955	250	0	Tracking	default
2244	1.037	50	A	1006.49	629.121	0	1012.4	623.361	-97.7318	955	250	0	Tracking	default
2245	1.055	50	A	1001.89	621.825	0	995.984	623.388	-97.1807	955	250	0	Tracking	default
2246	1.073	50	A	1001.81	621.683	0	995.984	623.388	-97.1707	955	250	0	Tracking	default
2247	1.091	50	A	1001.89	621.825	0	995.984	623.388	-97.1834	955	250	0	Tracking	default
2248	1.109	50	A	1001.72	622.04	0	995.984	623.388	-97.156	955	250	0	Tracking	default
2249	1.127	50	A	1001.79	622.497	0	995.984	623.388	-97.1595	955	250	0	Tracking	default
2250	1.145	50	A	1001.8	619.1	0	995.984	623.388	-97.2267	955	250	0	Tracking	default
2251	1.149	50	A	1002.7	618.6	0	995.984	623.388	-97.2267	955	250	0	Tracking	default
2252	1.166	50	A	987.706	590.122	0	995.984	623.388	-97.3752	955	250	0	Tracking	default
2253	1.183	50	A	988.5	592	0	979.619	590.114	-95.4774	955	250	0	Tracking	default
2254	1.201	50	A	988.5	592	0	996.032	590.086	-95.5797	955	250	0	Tracking	default
2255	1.215	50	A	988.5	592	0	996.032	590.086	-95.5847	955	250	0	Tracking	default
2256	1.233	50	A	988.5	592	0	996.032	590.086	-95.5896	955	250	0	Tracking	default
2257	1.251	50	A	988.8	592.508	0	996.032	590.086	-95.6365	955	250	0	Tracking	default
2258	1.269	50	A	982.333	576.728	0	979.643	573.463	-94.7746	955	250	0	Tracking	default
2259	1.287	50	A	978.614	576.866	0	979.643	573.463	-94.1185	955	250	0	Tracking	default
2260	1.305	50	A	981.109	579.126	0	979.643	573.463	-94.5283	955	250	0	Tracking	default
2261	1.323	50	A	978.028	576.699	0	979.643	573.463	-94.0244	955	250	0	Tracking	default
2262	1.341	50	A	980.572	577.152	0	979.643	573.463	-94.4694	955	250	0	Tracking	default
2263	1.359	50	A	980.572	577.152	0	979.643	573.463	-94.4717	955	250	0	Tracking	default
2264	1.377	50	A	970.8	556.1	0	963.254	556.839	-92.9411	955	250	0	Tracking	default
2265	1.395	50	A	973.119	559.892	0	979.668	556.812	-93.3366	955	250	0	Tracking	default
2266	1.399	50	A	971.677	557.167	0	979.668	556.812	-93.3401	955	250	0	Tracking	default
2267	1.417	50	A	971.677	557.167	0	979.668	556.812	-93.1026	955	250	0	Tracking	default
2268	1.433	50	A	972.195	558.442	0	979.668	556.812	-93.1916	955	250	0	Tracking	default
2269	1.449	50	A	971.243	557.109	0	963.254	556.839	-93.0268	955	250	0	Tracking	default
2270	1.467	50	A	971.034	556.914	0	963.254	556.839	-92.9893	955	250	0	Tracking	default
2271	1.485	50	A	970.918	556.902	0	963.254	556.839	-92.9682	955	250	0	Tracking	default
2272	1.503	50	A	965.15	539.45	0	963.279	540.188	-91.9973	955	250	0	Tracking	default
2273	1.521	50	A	965.064	539.343	0	963.279	540.188	-91.9816	955	250	0	Tracking	default
2274	1.539	50	A	965.11	539.488	0	963.279	540.188	-91.9933	955	250	0	Tracking	default
2275	1.557	50	A	964.981	539.434	0	963.279	540.188	-91.9715	955	250	0	Tracking	default
2276	1.575	50	A	965.019	539.566	0	963.279	540.188	-91.9816	955	250	0	Tracking	default
2277	1.591	50	A	964.717	538.509	0	963.279	540.188	-91.9284	955	250	0	Tracking	default
2278	1.61	50	A	960.851	526.108	0	963.303	523.537	-91.2056	955	250	0	Tracking	default
2279	1.628	50	A	961	535.5	0	963.279	540.188	-91.1959	955	250	0	Tracking	default
2280	1.644	50	A	960.484	526.32	0	963.303	523.537	-91.1307	955	250	0	Tracking	default
2281	1.662	50	A	960.5	535	0	963.279	540.188	-91.102	955	250	0	Tracking	default
2282	1.666	50	A	960.5	535	0	963.279	540.188	-91.1048	955	250	0	Tracking	default
2283	1.684	50	A	960.723	528.228	0	963.303	523.537	-91.2312	955	250	0	Tracking	default
2284	1.702	50	A	960.365	526.241	0	963.303	523.537	-91.179	955	250	0	Tracking	default
2285	1.716	50	A	960.365	526.241	0	963.303	523.537	-91.1124	955	250	0	Tracking	default
2286	1.734	50	A	960.411	527.256	0	963.303	523.537	-91.1175	955	250	0	Tracking	default
2287	1.752	50	A	960.444	527.718	0	963.303	523.537	-91.1225	955	250	0	Tracking	default
2288	1.77	50	A	957.5	510	0	963.327	506.886	-90.5441	955	250	0	Tracking	default
2289	1.788	50	A	957.5	509.5	0	963.327	506.886	-90.5453	955	250	0	Tracking	default
2290	1.806	50	A	957.5	510	0	963.327	506.886	-90.5465	955	250	0	Tracking	default
2291	1.824	50	A	957.5	509.5	0	963.327	506.886	-90.5498	955	250	0	Tracking	default
2292	1.842	50	A	957.5	509.5	0	963.327	506.886	-90.552	955	250	0	Tracking	default
2293	1.86	50	A	957.5	509.5	0	963.327	506.886	-90.552	955	250	0	Tracking	default
2294	1.878	50	A	957.5	493.5	0	963.352	490.235	-90.5887	955	250	0	Tracking	default
2295	1.896	50	A	957.5	494	0	963.352	490.235	-90.5875	955	250	0	Tracking	default
2296	1.9	50	A	957.5	493.5	0	963.352	490.235	-90.5873	955	250	0	Tracking	default
2297	1.918	50	A	957.5	494	0	963.352	490.235	-90.5884	955	250	0	Tracking	default
2298	1.934	50	A	957.5	494	0	963.352	490.235	-90.587	955	250	0	Tracking	default
2299	1.95	50	A	957.5	490	0	963.352	490.235	-90.5969	955	250	0	Tracking	default
2300	1.968	50	A	957.5	489.5	0	963.352	490.235	-90.5982	955	250	0	Tracking	default
2301	1.986	50	A	957.881	489.522	0	963.352	490.235	-90.6903	955	250	0	Tracking	default
2302	2.004	50	A	958.5	477.5	0	963.376	473.584	-90.8852	955	250	0	Tracking	default
2303	2.022	50	A	957.5	478	0	963.376	473.584	-90.6282	955	250	0	Tracking	default
2304	2.04	50	A	958	479	0	963.376	473.584	-90.7509	955	250	0	Tracking	default
2305	2.058	50	A	958	477	0	963.376	473.584	-90.7575	955	250	0	Tracking	default
